Designator,Mid X,Mid Y,Layer,Rotation
C1, 2.06,-6.35,Bottom,90.0
C2, 0.32,-6.03,Bottom,90.0
C3,-1.91,-2.54,Bottom,0.0
C4,-4.13,-4.76,Bottom,90.0
C5,-7.46,-6.35,Bottom,90.0
C6,-9.21,-6.03,Bottom,90.0
C7, 1.43,-12.70,Bottom,270.0
C8, 3.02,-12.70,Bottom,270.0
C9,-12.07,-2.22,Bottom,0.0
C10,-13.34,-4.76,Bottom,90.0
C11,11.27, 7.30,Bottom,180.0
C12, 6.35,17.14,Bottom,90.0
C13, 6.83,12.70,Bottom,270.0
C14,-8.73,-11.43,Bottom,180.0
D1, 3.02,-2.54,Bottom,90.0
D2,-1.43,-19.05,Bottom,270.0
D3,-7.46,-9.21,Bottom,0.0
D4,12.54,-13.65,Bottom,270.0
D5, 9.37,-13.65,Bottom,270.0
FD1,16.11,25.00,Bottom,0.0
FD2, 4.61,-24.50,Bottom,0.0
FD3,-13.89,-25.00,Bottom,0.0
J1,13.50, 2.00,Bottom,180.0
J2,10.50,-20.50,Bottom,180.0
J3,10.50,-7.00,Bottom,180.0
J4,14.25,14.50,Bottom,90.0
L1,-2.70,-8.26,Bottom,180.0
L2,-12.22,-8.26,Bottom,180.0
OK1,-8.41,-20.64,Bottom,180.0
Q1,-1.43,-12.70,Bottom,90.0
R1, 0.48,-19.05,Bottom,90.0
R2, 6.19, 6.03,Bottom,90.0
R3,14.13,-13.65,Bottom,270.0
R4, 0.32,-3.18,Bottom,90.0
R5, 1.43,-3.18,Bottom,90.0
R6,-8.73,-15.24,Bottom,180.0
R7,-1.75,-15.56,Bottom,0.0
R8, 1.75,-15.56,Bottom,180.0
R9,10.95,-13.65,Bottom,90.0
R10,-9.21,-3.18,Bottom,90.0
R11,-8.10,-3.18,Bottom,90.0
R12, 7.78,-13.65,Bottom,90.0
R13,15.08, 6.99,Bottom,180.0
R14,15.08, 8.26,Bottom,180.0
R15,-8.73,-12.70,Bottom,180.0
R16,-8.73,-13.97,Bottom,0.0
S1,-5.56,-13.34,Bottom,90.0
S2,-11.91,-13.34,Bottom,90.0
TP1, 8.00, 8.00,Bottom,0.0
TP2, 9.00, 9.50,Bottom,0.0
TP3,-4.00,-16.00,Bottom,0.0
TP4,-14.00,-11.50,Bottom,0.0
TP5,-14.00,-1.50,Bottom,0.0
TP7, 9.00,-25.00,Bottom,0.0
TP8, 2.50,-18.00,Bottom,0.0
TP9,10.50,-2.50,Bottom,0.0
TP10,15.50,-13.50,Bottom,0.0
TP11,-14.00,-16.00,Bottom,0.0
TP12,-3.75,-11.25,Bottom,0.0
TP13, 8.00,18.00,Bottom,0.0
TP14, 5.50, 0.00,Bottom,0.0
TP15, 6.00, 9.00,Bottom,0.0
U1,-1.43,-5.08,Bottom,90.0
U2,-10.95,-5.08,Bottom,90.0
U3,-4.60,12.70,Bottom,180.0
