"Comment";"Designator";"Footprint";"JLCPCB Part #";"Quantity";"MPN";"";
"1";"L1";"L1008";"";"1";"L1008-2U2H-2A5";"2-PIN-INDUCTORL1008-2U2-2A5";
"2";"J2";"DCJACK_2MM_PTH_SLOT";"";"1";"DC-2.1-TH-SLOT";"DCPCB_MOUNT_TH_SLOT";
"3";"D1, D2";"SOD-323";"";"2";"SOD323-SCHOTTKY-1A";"DIODE-SCHOTTKYGEN_SOD-323";
"4";"FD1, FD2, FD3";"FIDUCIAL_ROUND_1MM";"";"3";"FIDUCIAL";"FIDUCIALROUND_1MM";
"5";"OK1";"SMD6";"";"1";"H11L1S";"H11L1S";
"6";"J4, J5";"JST_B2B_PH_SM4_TB";"";"2";"B2B-PH-SM4-TB(LF)(SN)";"JST_PH_2VERT";
"7";"J3";"JST_SM12B-SRSS-TB";"";"1";"";"JST_SH_12";
"8";"D3";"CHIPLED_0603";"";"1";"LED-0603-GREEN";"LED0603_G";
"9";"MP1, MP2, MP3, MP4";"M2-PANHEAD-VIA";"";"4";"";"SCREW-FASTENER2";
"10";"C3, C4";"0603_CAP";"";"2";"C0603-100NF-50V-X7R";"SMD-MLCCC0603-100N-50V-X7R";
"11";"C1";"0805_CAP";"";"1";"C0805-10UF-25V-X7R";"SMD-MLCCC0805-10U-25V-X7R";
"12";"C2";"1210_CAP";"";"1";"C1210-22U-25V";"SMD-MLCCC1210-22U-25V-X7R";
"13";"R4";"0603-RES";"";"1";"R0603-100K";"STDR0603-100K";
"14";"R5";"0603-RES";"";"1";"R0603-1K";"STDR0603-1K";
"15";"R1";"0603-RES";"";"1";"R0603-220R";"STDR0603-220R";
"16";"R3";"0603-RES";"";"1";"R0603-27K";"STDR0603-27K";
"17";"R2, R6, R7";"0603-RES";"";"3";"R0603-5K1";"STDR0603-5K1";
"18";"U1";"SOT-5X3";"";"1";"TPS629206DRLR";"TPS629206DRLR";
"19";"J1";"CUI_SJ1-3525N";"";"1";"SJ1-3525N";"TRS";
